object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
1,4/22/14 3:53 AM,Clausen August,AugustCClausen@yahoo.com,GUEST_INVITE,###############################################################################################################################################################################################################################################################,1,0,11,10803
2,11/15/13 3:45 AM,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,###############################################################################################################################################################################################################################################################,0,0,1,316
3,3/19/13 11:14 PM,Bottrill Mitchell,MitchellBottrill@gustr.com,ORG_INVITE,###############################################################################################################################################################################################################################################################,0,0,94,1525
4,5/21/13 8:09 AM,Clausen Nicklas,NicklasSClausen@yahoo.com,GUEST_INVITE,###############################################################################################################################################################################################################################################################,0,0,1,5151
5,1/17/13 10:14 AM,Raw Grace,GraceRaw@yahoo.com,GUEST_INVITE,###############################################################################################################################################################################################################################################################,0,0,193,5240
6,12/17/13 3:37 AM,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,GUEST_INVITE,###############################################################################################################################################################################################################################################################,0,0,197,11241
7,12/16/12 1:24 PM,Sewell Tyler,TylerSewell@jourrapide.com,SIGNUP,###############################################################################################################################################################################################################################################################,0,1,37,
8,7/31/13 5:34 AM,Hamilton Danielle,DanielleHamilton@yahoo.com,PERSONAL_PROJECTS,,1,1,74,
9,11/5/13 4:04 AM,Amsel Paul,PaulAmsel@hotmail.com,PERSONAL_PROJECTS,,0,0,302,
10,1/16/13 10:08 PM,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,###############################################################################################################################################################################################################################################################,1,1,318,4143
11,12/26/13 3:55 AM,Paulsen Malthe,MaltheAPaulsen@gustr.com,SIGNUP,###############################################################################################################################################################################################################################################################,0,0,69,
12,4/17/14 11:48 PM,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,ORG_INVITE,,0,0,130,9270
13,3/30/14 4:19 PM,Fry Alexander,AlexanderDFry@cuvox.de,ORG_INVITE,###############################################################################################################################################################################################################################################################,0,0,254,11204
14,10/11/12 4:14 PM,Rivera Bret,BretKRivera@gmail.com,SIGNUP,###############################################################################################################################################################################################################################################################,0,0,0,
15,7/16/13 9:33 PM,Theiss Ralf,RalfTheiss@hotmail.com,PERSONAL_PROJECTS,,0,0,175,
16,2/11/13 10:09 AM,Engel René,ReneEngel@hotmail.com,PERSONAL_PROJECTS,,0,0,211,
17,4/9/14 2:39 PM,Reynolds Anthony,AnthonyReynolds@jourrapide.com,GUEST_INVITE,###############################################################################################################################################################################################################################################################,1,0,175,1600
18,8/24/13 12:26 AM,Gregersen Celina,CelinaAGregersen@jourrapide.com,GUEST_INVITE,,0,0,2,3153
